"x","y","ID","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12"
677775,4764065,1,1673,1734,1568,999,1033,1033,1694,1226,1440,1413
677785,4764065,2,920,668,768,549,503,503,732,681,809,862
677795,4764065,3,301,354,357,549,503,503,399,681,809,862
677805,4764065,4,300,356,339,784,715,715,416,743,1098,1158
677815,4764065,5,645,466,613,784,715,715,587,743,1098,1158
677825,4764065,6,1966,2244,2126,1900,1787,1787,1900,1946,2229,2330
677835,4764065,7,1752,1948,2027,1900,1787,1787,2105,1946,2229,2330
677845,4764065,8,1322,1377,1589,1443,1517,1517,1713,1743,2147,2076
677855,4764065,9,1035,1227,1332,1443,1517,1517,1589,1743,2147,2076
677865,4764065,10,1021,1044,1182,1113,1654,1654,1540,2311,1824,1428
677875,4764065,11,518,709,614,1113,1654,1654,2327,2311,1824,1428
677885,4764065,12,194,395,215,631,1985,1985,2910,2843,1459,844
677895,4764065,13,138,337,170,631,1985,1985,2176,2843,1459,844
677905,4764065,14,48,198,35,384,1591,1591,1626,2329,1158,523
677915,4764065,15,90,187,81,384,1591,1591,1730,2329,1158,523
677925,4764065,16,129,329,164,530,1884,1884,3050,2762,1280,624
677935,4764065,17,187,330,262,530,1884,1884,2829,2762,1280,624
677945,4764065,18,349,582,521,735,1902,1902,2207,2702,1526,814
677955,4764065,19,374,472,414,735,1902,1902,1859,2702,1526,814
677965,4764065,20,291,465,419,739,1521,1521,1873,2403,1592,956
677975,4764065,21,471,549,542,739,1521,1521,1345,2403,1592,956
677985,4764065,22,581,650,624,1002,2016,2016,1955,2667,1710,1110
677995,4764065,23,516,795,705,1002,2016,2016,2886,2667,1710,1110
678005,4764065,24,722,943,861,1019,1966,1966,2369,2678,1823,1152
678015,4764065,25,647,870,809,1019,1966,1966,1892,2678,1823,1152
678025,4764065,26,582,601,590,968,1801,1801,1667,2226,1605,1090
678035,4764065,27,479,657,554,968,1801,1801,2240,2226,1605,1090
678045,4764065,28,626,741,658,1016,1502,1502,2640,2149,1537,1095
678055,4764065,29,690,780,842,1016,1502,1502,1552,2149,1537,1095
678065,4764065,30,576,785,805,1152,1510,1510,1455,1761,1503,1210
678075,4764065,31,658,871,850,1152,1510,1510,1563,1761,1503,1210
678085,4764065,32,758,1042,1035,1161,1639,1639,1715,1753,1690,1337
678095,4764065,33,920,849,893,1161,1639,1639,1636,1753,1690,1337
678105,4764065,34,888,941,983,1089,1385,1385,1438,1726,1584,1190
678115,4764065,35,487,671,733,1089,1385,1385,1272,1726,1584,1190
678125,4764065,36,489,690,723,1116,1234,1234,1022,1683,1554,1197
678135,4764065,37,617,905,911,1116,1234,1234,1593,1683,1554,1197
678145,4764065,38,713,797,820,1329,1638,1638,1714,2021,1625,1293
678155,4764065,39,582,743,737,1329,1638,1638,1524,2021,1625,1293
678165,4764065,40,467,599,551,831,1740,1740,1881,2563,1618,1053
678175,4764065,41,326,465,361,831,1740,1740,2642,2563,1618,1053
678185,4764065,42,487,521,458,767,1669,1669,1937,2414,1726,1115
678195,4764065,43,616,682,655,767,1669,1669,1922,2414,1726,1115
678205,4764065,44,416,835,799,1190,2079,2079,3198,2668,2033,1517
678215,4764065,45,881,982,1085,1190,2079,2079,2391,2668,2033,1517
678225,4764065,46,864,1125,1151,1094,1843,1843,2106,2857,2162,1556
678235,4764065,47,615,695,652,1094,1843,1843,2582,2857,2162,1556
678245,4764065,48,629,915,849,1102,2006,2006,2957,2544,1975,1363
678255,4764065,49,548,885,861,1102,2006,2006,2712,2544,1975,1363
678265,4764065,50,471,617,555,997,2021,2021,2033,2483,1925,1356
678275,4764065,51,342,625,527,997,2021,2021,2762,2483,1925,1356
678285,4764065,52,784,1177,1168,1191,2113,2113,2881,2780,2152,1468
678295,4764065,53,734,790,826,1191,2113,2113,2984,2780,2152,1468
678305,4764065,54,653,931,964,998,1949,1949,3031,2904,2043,1370
678315,4764065,55,314,619,576,998,1949,1949,2998,2904,2043,1370
678325,4764065,56,459,680,662,982,1984,1984,3051,2804,1997,1364
678335,4764065,57,432,705,671,982,1984,1984,2958,2804,1997,1364
678345,4764065,58,978,988,988,1276,2037,2037,2794,2755,2242,1657
678355,4764065,59,693,1283,1248,1276,2037,2037,2809,2755,2242,1657
678365,4764065,60,841,1068,1141,1306,2128,2128,3158,2771,2282,1680
678375,4764065,61,1082,1250,1371,1306,2128,2128,3115,2771,2282,1680
678385,4764065,62,673,1168,1095,1218,2142,2142,3042,2858,2264,1603
678395,4764065,63,712,918,868,1218,2142,2142,2960,2858,2264,1603
678405,4764065,64,899,1171,1218,1242,2043,2043,2718,2874,2240,1618
678415,4764065,65,915,1054,1027,1242,2043,2043,3167,2874,2240,1618
678425,4764065,66,743,946,933,1019,1859,1859,2600,2594,1855,1197
678435,4764065,67,589,810,763,1019,1859,1859,2255,2594,1855,1197
678445,4764065,68,427,659,543,833,2077,2077,3321,3443,1859,1019
678455,4764065,69,415,698,495,833,2077,2077,3753,3443,1859,1019
678465,4764065,70,491,804,593,812,2101,2101,3634,2688,1675,1018
678475,4764065,71,493,656,602,812,2101,2101,2192,2688,1675,1018
678485,4764065,72,388,576,512,1033,1966,1966,2632,2799,1935,1322
678495,4764065,73,450,756,664,1033,1966,1966,3168,2799,1935,1322
678505,4764065,74,643,731,713,1075,1968,1968,2458,2842,2073,1391
678515,4764065,75,490,837,757,1075,1968,1968,3113,2842,2073,1391
678525,4764065,76,558,916,845,834,1804,1804,2840,2682,1766,1116
678535,4764065,77,434,666,625,834,1804,1804,2429,2682,1766,1116
678545,4764065,78,411,673,609,953,2186,2186,2986,2911,1625,949
678555,4764065,79,585,879,895,953,2186,2186,2677,2911,1625,949
678565,4764065,80,544,638,659,727,1582,1582,2228,2683,1719,1043
678575,4764065,81,400,554,476,727,1582,1582,2174,2683,1719,1043
678585,4764065,82,434,689,628,1056,1947,1947,3271,2591,2007,1345
678595,4764065,83,612,961,1006,1056,1947,1947,2859,2591,2007,1345
678605,4764065,84,811,849,859,1232,2206,2206,2795,2853,2108,1511
678615,4764065,85,691,808,726,1232,2206,2206,3323,2853,2108,1511
678625,4764065,86,998,982,882,1055,1900,1900,2514,2936,1723,1095
678635,4764065,87,539,698,658,1055,1900,1900,2481,2936,1723,1095
678645,4764065,88,203,343,268,811,1912,1912,2984,2830,1511,836
678655,4764065,89,234,523,378,811,1912,1912,3191,2830,1511,836
678665,4764065,90,517,657,612,709,1706,1706,2409,2325,1481,991
678675,4764065,91,371,465,455,709,1706,1706,1513,2325,1481,991
678685,4764065,92,274,506,426,908,1882,1882,2073,2395,1605,1043
